dataset,target_score,construction_mode,selection_rank,requested_activation_ratio,activation_ratio,event_id,active,line_budget,start_line_id,end_line_id,requested_entropy_per_active_slot,target_entropy_per_active_slot,achieved_entropy_per_active_slot,ground_truth_group_ld,value_counts,placeholder_count,template
BGL,0.6,ground-truth,1,0.7745966692414834,0.77,E30,1,64,1,64,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection reset by peer"
BGL,0.6,ground-truth,2,0.7745966692414834,0.77,E49,1,64,65,128,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,data address space................<*>
BGL,0.6,ground-truth,3,0.7745966692414834,0.77,E41,1,64,129,192,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>"
BGL,0.6,ground-truth,4,0.7745966692414834,0.77,E1,1,64,193,256,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds"
BGL,0.6,ground-truth,5,0.7745966692414834,0.77,E105,1,64,257,320,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,program interrupt: unimplemented operation..<*>
BGL,0.6,ground-truth,6,0.7745966692414834,0.77,E96,1,64,321,384,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,6,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>"
BGL,0.6,ground-truth,7,0.7745966692414834,0.77,E56,1,64,385,448,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,3,dbcr0=<*> dbsr=<*> ccr0=<*>
BGL,0.6,ground-truth,8,0.7745966692414834,0.77,E54,1,64,449,512,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,data store interrupt caused by icbi.........<*>
BGL,0.6,ground-truth,9,0.7745966692414834,0.77,E16,1,64,513,576,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,byte ordering exception.....................<*>
BGL,0.6,ground-truth,10,0.7745966692414834,0.77,E62,1,64,577,640,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,floating point instr. enabled.....<*>
BGL,0.6,ground-truth,11,0.7745966692414834,0.77,E43,1,64,641,704,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,core configuration register: <*>
BGL,0.6,ground-truth,12,0.7745966692414834,0.77,E69,1,64,705,768,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,guaranteed instruction cache block touch.<*>
BGL,0.6,ground-truth,13,0.7745966692414834,0.77,E74,1,64,769,832,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
BGL,0.6,ground-truth,14,0.7745966692414834,0.77,E119,1,64,833,896,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,total of <*> ddr error(s) detected and corrected over <*> seconds
BGL,0.6,ground-truth,15,0.7745966692414834,0.77,E29,1,64,897,960,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed
BGL,0.6,ground-truth,16,0.7745966692414834,0.77,E13,1,64,961,1024,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,3,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected
BGL,0.6,ground-truth,17,0.7745966692414834,0.77,E14,1,64,1025,1088,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds
BGL,0.6,ground-truth,18,0.7745966692414834,0.77,E22,1,64,1089,1152,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,ciod: Error creating node map from file <*>: Block device required
BGL,0.6,ground-truth,19,0.7745966692414834,0.77,E103,1,64,1153,1216,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,program interrupt: privileged instruction...<*>
BGL,0.6,ground-truth,20,0.7745966692414834,0.77,E100,1,64,1217,1280,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,program interrupt: fp cr update.............<*>
BGL,0.6,ground-truth,21,0.7745966692414834,0.77,E8,1,64,1281,1344,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected
BGL,0.6,ground-truth,22,0.7745966692414834,0.77,E79,1,64,1345,1408,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,lr:<*> cr:<*> xer:<*> ctr:<*>
BGL,0.6,ground-truth,23,0.7745966692414834,0.77,E109,1,64,1409,1472,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,rts tree/torus link training failed: wanted: <*> got: <*>
BGL,0.6,ground-truth,24,0.7745966692414834,0.77,E25,1,64,1473,1536,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,"ciod: Error loading <*>: invalid or missing program image, Exec format error"
BGL,0.6,ground-truth,25,0.7745966692414834,0.77,E26,1,64,1537,1600,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,"ciod: Error loading <*>: invalid or missing program image, Permission denied"
BGL,0.6,ground-truth,26,0.7745966692414834,0.77,E68,1,64,1601,1664,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,guaranteed data cache block touch........<*>
BGL,0.6,ground-truth,27,0.7745966692414834,0.77,E114,1,64,1665,1728,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,size of scratchpad portion of L3.........<*> (<*>)
BGL,0.6,ground-truth,28,0.7745966692414834,0.77,E46,1,64,1729,1792,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type"
BGL,0.6,ground-truth,29,0.7745966692414834,0.77,E2,1,64,1793,1856,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>"
BGL,0.6,ground-truth,30,0.7745966692414834,0.77,E116,1,64,1857,1920,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,store operation.............................<*>
BGL,0.6,ground-truth,31,0.7745966692414834,0.77,E23,1,64,1921,1984,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,ciod: Error creating node map from file <*>: No child processes
BGL,0.6,ground-truth,32,0.7745966692414834,0.77,E58,1,64,1985,2048,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,debug wait enable.................<*>
BGL,0.6,ground-truth,33,0.7745966692414834,0.77,E84,1,64,2049,2112,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,machine check: i-fetch......................<*>
BGL,0.6,ground-truth,34,0.7745966692414834,0.77,E76,1,64,2113,2176,0.7792207792207791,0.7792207792207791,0.7793994199077399,0.7793994199077399,19 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1,instruction address: <*>
